"1";"Pod pojmom Aerodrome Traffic se podrazumeva::";"Sav saobraćaj na manevarskim površinama i sve avionske operacije u blizini aerodroma";"Sva vozila na aerodromu";"Svi avioni na aerodromu";"Sav saobraćaj na manevarskim površinama";"A";"komunication"
"2";"VHF frekvencija se koristi za komunikacije čiji je opseg:";"Od 118,0 do 135,975 MHz";"Od 108,0 do 135,975 Khz";"Od 118,0 do 121,5 MHz";"";"A";"komunication"
"3";"Maksimalni domet VHF sredstva za komunikaciju koji možete da očekujete na FL100 iznosi";"120 nm";"1200 nm";"150 nm";"100 nm";"A";"komunication"
"4";"Vazduhoplov se nalazi u najboljem dometu VHF sredstva za komunikaciju ukoliko se nalazi:";"Na velikoj visini i u blizini aerodroma";"Na velikoj visini i na velikoj udaljenosti od sredstva";"Na maloj visini i na velikoj udaljenosti od sredstva";"Na maloj visini i na maloj udaljenosti od sredstva";"A";"komunication"
"5";"Značenje skraćenice ""IMC"" je:";"Instrumentalni meteorološki uslovi";"Let po pravilima vizuelnog letenja";"Let po pravilima instrumentalnog letenja";"Vizuelni meteorološki uslovi";"A";"komunication"
"6";"Izraz ""SVFR let"" znači:";"Specijalni VFR let";"Sektorski VFR let";"Školski VFR let";"VFR let u službi spasavanja";"A";"komunication"
"7";"Izraz ""CVFR let"" znači:";"Kontrolisani VFR let";"VFR let civilnog vazduhoplova";"Školski VFR let";"VFR let sa vidljivošću";"A";"komunication"
"8";"Skraćenica ""VMC"" znaci:";"Vizuelni meteorološki uslovi";"Let po pravilima vizuelnog letenja";"Instrumentalni meteorološki uslovi";"Let po pravilima instrumentalnog letenja";"A";"komunication"
"9";"Šta znači izraz ""VFR let"":";"Let po pravilima vizuelnog letenja";"Let po pravilima instrumentalnog letenja";"Školski let";"Let bez putnika";"A";"komunication"
"10";"Šta znači izraz ""wilco"":";"Razumem vašu poruku i postupiću po njoj";"Primio sam vašu zadnju poruku u celosti";"Moja poruka je konačna i očekujem vaš odgovor";"Zahtev je odobren";"A";"komunication"
"11";"Šta znači izraz ""verify"":";"Proveriti i dobiti potvrdu od pošiljaoca poruke";"Ne, odnosno zahtev nije odobren, odnosno nepravilno";"Ponovite sve ili sledeće delove vaše zadnje poruke";"Javljam razdvajanje delova poruke";"A";"komunication"
"12";"Šta znači izraz ""roger"":";"Primio sam vašu zadnju poruku u celosti";"Razumem vašu poruku i postupiću po njoj";"Moja poruka je konačna i čekam vaš odgovor";"Dozvoljavam predloženu akciju";"A";"komunication"
"13";"Šta znači izraz ""acknowledge"":";"Potvrdite, da ste primili i razumeli poruku";"Primio sam vašu zadnju poruku u celosti";"Ponovite sve ili sledeće delove vaše zadnje poruke";"Moja poruka je konačna i očekujem vaš odgovor";"A";"komunication"
"14";"Šta znači izraz “vacate right” ?";"Skrenite desno da napustite pistu";"Oslobodite pistu odmah";"Sledeći izlaz sa piste je s desne strane";"Skrenite desno posle poletanja";"A";"komunication"
"15";"Šta znači izraz ""go around""?";"Produžite posle neuspelog prilaza";"Prestignite avion ispred";"Napravite zaokret za 360 stepeni";"Vozite iz aviona na tački";"A";"komunication"
"16";"Šta znači izraz ""standby""?";"Sačekajte pozvaću vas ponovo";"Izaberite standby na ssr transponderu";"Zadržite sadašnju poziciju";"Nastavite u sadašnjem kursu i slušajte radio vezu";"A";"komunication"
"17";"Šta znači izraz monitor?";"Slušajte radiovezu na (frekvenca)";"Uspostavite radio vezu sa...";"Ponavljam zbog jasnoće ili isticanja";"Osmatraj instrumente";"A";"komunication"
"18";"Šta znači izraz report?";"Javite mi sledeće informacije";"Ponovite";"Javite mi vašu poruku";"Nastavite sa vašom porukom";"A";"komunication"
"19";"Šta znači izraz SID?";"Standardna instrumentalna dolazna ruta";"Standardna instrumentalna odlazna ruta";"Standardna vizuelna dolazna ruta";"Standardna vizuelna odlazna ruta";"A";"komunication"
"20";"Šta znači ""orbit right""";"Nastavite da radite desne zaokrete dok vas ne pozovemo";"Desni školski krug u upotrebi";"Skrenite desno da izbegnete drugi saobraćaj";"Napravite desni zaokret za 360 stepeni";"A";"komunication"
"21";"Pilot je dobio odobrenje da se zadrži na određenoj tački na maršruti do određenog vremena. Ovo \nvreme se zove:";"Očekivano vreme prilaska";"Predviđeno vreme iznad";"Predviđeno vreme dolaska";"Vreme čekanja";"A";"komunication"
"22";"Izraz ""altitude"" označava:";"Nadmorsku visinu";"Visinu iznad aerodroma";"Nivo leta";"Barometarsku";"A";"komunication"
"23";"Šta znači izraz ""flight level"":";"Nivo u atmosferi, koji se upotrebljava za vertikalno razdvajanje vazduhoplova i određen je \nsa podešavanjem visinomera na 1.013,2 hpa - QNE pritisak";"Nivo u atmosferi, koji se upotrebljava za vertikalno razdvajanje vazduhoplova i određen je \nsa podešavanjem visinomera na lokalni QNH pritisak";"Nivo u atmosferi , koji se upotrebljava za vertikalno razdvajanje vazduhoplova i određen je \nsa podešavanjem visinomera na lokalni QFE pritisak";"Nivo pritiska na osnovi lokalnog QNH";"A";"komunication"
"24";"Faze leta: climb, take off, descent, start-up, approach, cruise, push back, final approach, taxi, take \noff roll, touch down i line-up su pomešane. Njihov redosled je:";"Start up, push back, taxi, line-up, take off roll, take off, climb, cruise, descent, approach, \nfinal approach, touch down";"Line-up, take off roll, take off, climb, cruise, descent, approach, start up, push back, taxi, \nfinal approach, touch down";"Push back, taxi, line-up, take off roll, start up, take off, descent, climb, cruise, touch down, \napproach, final approach";"";"A";"komunication"
"25";"Koji visinu je javio pilot vazduhoplova sa porukom ""five thousand feet QFE"":";"Visinu nad aerodromom";"Nivo leta";"Apsolutnu visinu";"Adekvatnu visinu u MSA (ICAO)";"A";"komunication"
"26";"Šta podrazumeva kontrolor letenja, ako mu pilot vazduhoplova javi ""FIVE THOUSAND FEET"":";"Visinu vazduhoplova 5.000 ft iznad srednjeg nivoa mora";"Visinomer vazduhoplova je podešen na lokalni pritisak QFE";"Visina vazduhoplova je 5.000 ft iznad aerodroma";"Visinomer vazduhoplova je podešen na standardni pritisak 1.013,2 hpa";"A";"komunication"
"27";"Visina 4.500 ft QNH se javlja frazom:";"FOUR THOUSAND FIVE HUNDRED FEET";"FORTY FIVE THOUSAND";"FOUR POINT FIVE";"FORTY FIVE HUNDRED FEET ABOVE LEVEL";"A";"komunication"
"28";"Radio vezom visinu 5.000 ft javljamo kao:";"FIVE THOUSAND FEET";"FIVE NULL NULL NULL";"FIVE ZERO ZERO ZERO FEET";"FIFTY HUNDRED";"A";"komunication"
"29";"Kako se radio vezom javlja 11.000 ft:";"WUN WUN THOUSAND FEET";"ELEVEN THOUSAND FEET";"WUN WUN ZERO ZERO ZERO FEET";"ELEVEN THOUSAND ZERO";"A";"komunication"
"30";"Visina 10.500 ft sa pravilno javlja frazom:";"WUN ZERO THOUSAND FIVE HUNDRED FEET";"TEN POINT FIVE";"WUN ZERO FIVE HUNDRED FEET ABOVE SEA LEVEL";"TEN THOUSAND FIVE HUNDRED FEET";"A";"komunication"
"31";"COMM frekvencija 118,125 se u radio poruci izgovara kao:";"WUN WUN EIGHT DECIMEL WUN TOO koristeći 5/4 Digit frazeologiju ili WUN WUN \nEIGHT DECIMEL WUN TWO FIVE koristeći 6/4 Digit frazeologiju";"WUN WUN EIGHT WUN TWO FIVE";"WUN WUN EIGHT POINT WUN TWO FIVE";"WUN WUN EIGHT DECIMAL WUN TWO FIVE";"A";"komunication"
"32";"U radio poruci se broj 583 izgovara kao:";"FIVE EIGHT THREE";"FIVE HUNDRED EIGHTY THREE";"FIFTY EIGHT THREE";"FIVE HUNDRED EIGHT THREE";"A";"komunication"
"33";"U radio poruci se broj 496 izgovara kao:";"FOUR NINER SIX.";"FOUR HUNDRED AND NINETY SIX.";"FOUR HUNDRED AND NINER SIX.";"FOUR NINETY SIX.";"A";"komunication"
"34";"U radio poruci se broj 4501 izgovara kao:";"FOUR FIVE ZERO WUN.";"FOUR THOUSAND FIVE HUNDRED WUN.";"FOUR FIVE ZERO POINT WUN.";"FORTY FIVE HUNDRED WUN";"A";"komunication"
"35";"Broj 600 se u radio poruci izgovara kao:";"SIX HUNDRED";"SIX ZERO ZERO";"SIX NULL NULL";"SIXTY ZERO";"A";"komunication"
"36";"COMM frekvencija 118,0 se u radio poruci javlja kao:";"WUN WUN EIGHT DECIMAL ZERO";"WUN HUNDRED EIGHTEEN PIONT NULL";"WUN WUN EIGHT";"WUN WUN EIGHT PIONT ZERO";"A";"komunication"
"37";"Kako se radio porukom javlja COMM frekvencija 118,1:";"WUN WUN EIGHT DECIMAL WUN";"WUN WUN EIGHT POINT WUN";"WUN HUNDRED ELEVEN POINT WUN";"WUN WUN EIGHT";"A";"komunication"
"38";"Kako se radio porukom javlja COMM frekvencija 118,150:";"WUN WUN EIGHT DECIMAL WUN FIVE";"WUN WUN EIGHT DECIMAL WUN FIVE ZERO";"WUN WUN EIGHT POINT WUN FIVE ZERO";"WUN WUN EIGHT DASH WUN FIVE";"A";"komunication"
"39";"Frekvencija 121.725 MHz biće emitovana kao:";"WUN TOO WUN DECIMAL SEVEN TOO FIFE, koristeći 6/4 Digit Frazeologiju, i WUN TOO \nWUN DECIMAL SEVEN TOO, koristeći 5/4 Digit Frazeologiju.";"WUN TWO WUN POINT SEVEN TWO.";"WUN TOO WUN POINT SEVEN TOO.";"WUN TWENTY WUN DECIMAL SEVEN TWENTY FIVE";"A";"komunication"
"40";"Kada sme pilot da upotrebi kraci pozivni znak vazduhoplova:";"Samo kada je zemaljska radio stanica prva upotrebila skraćeni pozivni znak";"Nikada";"Nakon što je ostvaren prvi radio kontakt";"Bilo kada, po svojoj odluci";"A";"komunication"
"41";"Vreme 10:20 se u vazduhoplovnoj frazeologiji odašilje kao";"""ONE ZERO TWO ZERO"" ili ""TWO ZERO""";"TEN TWENTY HOURS";"TEN TWO ZERO";"ONE ZERO TWENTY";"A";"komunication"
"42";"Vreme 10:20 u 09:10 se u vazduhoplovnoj frazeologiji odašilje kao";"""ONE ZERO TWO ZERO""";"TEN TWENTY HOURS";"TEN TWO ZERO";"""TWO ZERO""";"A";"komunication"
"43";"Fonetski izgovor za oznaku 70-VEL glasi:";"SEVEN, ZERO, VICTOR, ECHO, LIMA";"SEVEN, ZERO, WHISKEY, ECHO, LMA";"SEVENTY, VICTOR, ECHO, LIMA";"";"A";"komunication"
"44";"Fonetski izgovor za oznaku EXTRA glasi:";"ECHO, XRAY,TANGO,ROMEO,ALFA";"EXTRA";"ECHO,XRAY,TORONTO,ROMEO,ALFA";"ECHO,IKS,TORONTO,ROMEO,ALFA";"A";"komunication"
"45";"Fonetski izgovor za oznaku C-MNXY glasi:";"CHARLIE, MIKE, NOVEMBER, XRAY, YANKEE";"COCA, MIKE, NECTAR, XRAY, YANKEE";"CHARLIE, METRO, NOVEMBER, EXTRA,";"";"A";"komunication"
"46";"Fonetski izgovor za oznaku B9-DFF NXY glasi";"BRAVO, NINER, DELTA, FOXTROT, FOXTROT";"BRAVO, NINE, DELTA, FOXTROT, FOXTROT";"BRAVO, NINE, DELTA, TWO FOXTROT";"";"A";"komunication"
"47";"Pilot će tražiti QFE na sledeći način:";"REQUEST QUEBEC FOXTROT ECHO";"REQUEST QUEBEC FOX ECHO";"REQUEST QUEEN FOX EASY";"REQUEST QUEBEC FOX EASY";"A";"komunication"
"48";"Koji je ispravan način izgovora FRI-VOR?";"FOXTROT ROMEO INDIA - VOR.";"FOXTROT ROMEO INDIA - VICTOR OSCAR ROMEO.";"FRIDAY-VOR.";"FOX ROMEO INDIA - VOR.";"A";"komunication"
"49";"Skraćenica za Control zone je";"CTR";"MATZ";"CTA";"CTZ";"A";"komunication"
"50";"Koja od sledećih skraćenica mora biti emitovana pojedinačnim slovima?";"Y-BC";"ILS";"RVR";"CAVOK";"A";"komunication"
"51";"Koji je Q kod za merenje relativne visine iznad aerodroma?";"QFE.";"ELT.";"QNH.";"QBA \n3";"A";"komunication"
"52";"Koji je Q kod za merenje apsolutne visine?";"QNH";"QFF";"QNE";"QFE";"A";"komunication"
"53";"Koji je Q kod za merenje nivoa leta?";"QNE";"QFF";"QNH";"QFE";"A";"komunication"
"54";"Koji je Q kod za magnetni kurs ka radio stanici?";"QDM";"QDR";"QGH";"QNH";"A";"komunication"
"55";"Koji je Q kod za magnetni kurs od radio stanice?";"QDR";"QGH";"QDM";"QNH";"A";"komunication"
"56";"Koji je Q kod za pravi kurs od radio stanice?";"QTE";"QDR";"QNH";"QFE";"A";"komunication"
"57";"Šta znaci međunarodna radiotelefonska skraćenica QDM:";"Magnetni pravac od vazduhoplova do stanice goniometra";"Vazdušni pritisak na nivou aerodroma";"Vazdušni pritisak na nivou aerodroma, preračunat na nivou mora";"Stvarno vreme na aerodromu";"A";"komunication"
"58";"Međunarodna radiotelefonska skraćenica QNH znači:";"Vazdušni pritisak na visini aerodroma, preračunat na nivo mora";"Vazdušni pritisak na visini aerodroma";"Pravi pravac od goniometra do vazduhoplova";"Magnetni pravac od vazduhoplova ka goniometru";"A";"komunication"
"59";"Ako želite da zatražite uslugu od zemaljska stanice:";"Morate to da uradite u vašem inicijalnom pozivu.";"Morate to da uradite nakon što je uspostavljena komunikacije sa stanicom.";"Potrebno je pratiti frekvenciju zemaljske stanice, sve dok ne čujete da zemaljska stanica \ndaje vama potrebne informacije drugim vazduhoplovima.";"Kao privatni pilot nemate pravo zahtevati uslugu";"A";"komunication"
"60";"Koje od sledećih navedenih ATC poruka pilot treba obavezno i u celini da ponovi";"Odobrenja za izlazak, sletanje, poletanje, povratak stazom, prelazak, čekanje za izlazak na \nPSS, u upotrebi, SSR instrukcije";"Instrukcije o nivou leta, podešavanje visinomera, prizemni vetar,informacije o PSS";"Odobrenje za rutu,odobrenje za sletanje,aktuelni vremenski izveštaj";"VOR informacije,promene frekvencije,tip radarskog";"A";"komunication"
"61";"Pilot je dužan da ponovi:";"Instrukcije vezane za podešavanje SSR transpondera, odobrenje za poletanje, podatke o \npodešavanju visinomera, radio-smer, promene frekvencije";"Podatke o podešavanju visinomera, taksiranju i meteorološke podatke";"Odobrenje rute, instrukcije vezane za podešavanje brzine, podatke o stanju poletno sletne \nstaze";"Izveštaje o trenutnoj meteorološkoj situaciji, odobrenje za rutu, odobrenje za korišćenje \npoletno sletne staze";"A";"komunication"
"62";"Koja od sledećih izjava je tačna? ""U komunikaciji zemlja - vazduh kontrolor će uvek"":";"Prvo reći vaš pozivni znak.";"Reći vaš pozivni znak na kraju.";"Samo u početnom kontaktu.";"";"A";"komunication"
"63";"Pozivni znak za ATC koja kontroliše vazduhoplove i vozila po manevarskim površinama je ?";"GROUND";"TOWER";"DISPATCH";"APRON";"A";"komunication"
"64";"Propisana fraza, sa kojom zahtevamo dozvolu za početak voženja po manevarskim površinama do \npoletno sletne staze je:";"REQUEST TAXI";"WHAT IS MY TAXI CLEARENCE";"REQUEST PERMISSION TO TAXI";"REQUEST TAXI CLEARENCE";"A";"komunication"
"65";"U slučaju kada TWR kaže pilotu vazduhoplova ""REPORT DOWNWIND"", pilot je dužan da javi:";"Poziciju vazduhoplova između drugog i trećeg zaokreta školskog kruga";"Procenjenu brzinu i pravac vetra na visini leta vazduhoplova";"Maksimalnu dopuštenu brzinu leđnog vetra pri sletanju";"Poziciju vazduhoplova posle četvrtog zaokreta u pravcu sletanja";"A";"komunication"
"66";"Kada kontrolor želi dobiti informacije o nivou leta na kom je avion leti, koristi frazu:";"REPORT LEVEL.";"WHAT IS YOUR LEVEL.";"REQUEST LEVEL.";"TRANSMIT YOUR LEVEL.";"A";"komunication"
"67";"Koji izraz se koristi kada kontrolor obaveštava pilota da nije potreban izveštaj iznad neke tačke?";"OMIT POSITION REPORT OVER ... (fix).";"CANCEL POSITION REPORT OVER ... (fix).";"NO POSITION REPORT OVER ... (fix).";"DO NOT REPORT OVER ... (";"A";"komunication"
"68";"Kada pilot vazduhoplova nije u stanju da izvrši naređenje, obaveštava kontrolu letenja frazom:";"UNABLE TO COMPLY";"UNABLE TO ACCEPT";"REQUEST RECLEARANCE";"I CANNOT COMPLY";"A";"komunication"
"69";"Kako da tražite da Vam se poruka ponovi?";"SAY AGAIN.";"PLEASE SAY THE MESSAGE AGAIN.";"REPEAT MESSAGE.";"SAY ALL AGAIN.";"A";"komunication"
"70";"Koja od sledećih poruka ima najveći prioritet?";"REQUEST QDM";"TAXI TO THE REFUELLING PUMPS";"CAUTION, WORK IN PROGRESS ON THE T AXIWAY";"REPORT FINAL NUMBER 1";"A";"komunication"
"71";"Ako vam je kontrolor poslao poruku koju razumete i po kojoj će te postupiti, standardno odgovor je";"WILCO";"VERIFY";"ROGER";"CONFIRM";"A";"komunication"
"72";"Ako pilot ne uspostavi kontakt na predviđenoj frekvenci on će:";"Pokuša da vrši predaju na drugoj frekvenciji koja je u vezi sa dodeljenom";"Vrši ""predaju na slepo""";"Vrši predaju na 121,5mhz";"Vrši predaju izgovarajući svaku reč dva puta";"A";"komunication"
"73";"Kada emituje poruku kojoj prethodi izraz ""transmitting blind due to receiver failure"" pilot će takođe:";"Predvideti vreme sledeće poruke";"Produžiti na alternativni aerodrom";"Sačekate 5 minuta na trenutnoj poziciji";"";"A";"komunication"
"74";"Vi ste na tački čekanja za pistu u upotrebi,završili ste sve provere I spremni ste da izađete na pistu I \npoletite. Koju poruku će te koristiti da obavеstite ATC o vašoj spremnosti?";"(POZIVNI ZNAK) READY FOR DEPARTURE.";"(POZIVNI ZNAK) READY FOR TAKE OFF.";"(POZIVNI ZNAK) READY FOR LINE UP.";"(POZIVNI ZNAK) READY TO PROCEED";"A";"komunication"
"75";"Ako pilot ne može da izvršava instrukcije ili naređenja treba da izvesti ATC sa frazom :";"UNABLE TO COMPLY.";"UNABLE TO ACCEPT.";"REQUEST RECLEARANCE";"I CANNOT";"A";"komunication"
"76";"Letite na FL50 u YU-ABC. Kada vam kontrolor zatraži da javite vaš nivo leta, koji je korektan \nodgovor?";"MAINTAINING FL50, Y- BC.";"FL50, Y- BC.";"AT FL50, Y- BC.";"Y- BC, FL50.";"A";"komunication"
"77";"U dugom prilazu za sletanje poruka ""Long Final"" će biti izgovorena na daljini:";"8 nm";"2 nm";"4 nm";"25 nm";"A";"komunication"
"78";"U prilazu za sletanje poruka “Final” će biti izgovorena na daljini:";"4 nm";"2 nm";"8 nm";"25 nm";"A";"komunication"
"79";"Letite u SeveroIstočnom kursu na 2500 ft. Izvestiće te o vašem kursu i nivou kao:";"HEADING 045 AT TOO TOUSAND FIFE HUNDRED FEET";"HEADING 045 AT TOO FIFE ZERO ZERO FEET.";"HEADING 045 AT 25 HUNDRED FEET";"FLYING AT TOO TOUSAND FIFE HUNDRED FEET ON HEADING 045.";"A";"komunication"
"80";"Kako će te korektno odgovoriti na ATC poruku ""Y-CD, Change to Belgrade Tower, 118.1”?";"WUN WUN EIGHT DAYSEEMAL WUN , YANKEE CHARLIE DELTA.";"Y-CD, 118.1.";"CHANGE TO BELGRADE TOWER 118.1, Y-CD.";"WILCO, Y-CD.";"A";"komunication"
"81";"Koja od sledećih opcija daje korektan sadržaj i redosled za izveštaj o poziciji?";"Pozivni znak,Pozicija,Vreme,Nivo ili visina,Sledeća pozicija sa očekivanim vremenom dolaska";"Pozivni znak,Maršruta,Pozicija,Nivo,Sledeća pozicija sa očekivanim vremenom \ndolaska,kurs,zahtev";",Pozicija,Nivo ili visina,Vreme,Sledeća pozicija sa očekivanim vremenom dolaska,Pozivni \nznak";"Maršruta,Pozicija,Vreme,Nivo ili visina,Sledeća pozicija sa očekivanim vremenom \ndolaska,Pozivni znak";"A";"komunication"
"82";"ATC će dati instrukcije za snižavanje sledećom frazom:";"DESCEND TO FL...";"MAINTAIN FL...";"LEAVE FL... FOR FL...";"CLEARED";"A";"komunication"
"83";"ATC će dati instrukcije za penjanje sledećom frazom:";"CLIMB TO FL...";"MAINTAIN FL...";"LEAVE FL... FOR FL...";"CLEARED FL...";"A";"komunication"
"84";"Vazduhoplovu je dato početno odobrenje da penje na nivo FL100. Zbog razdvajanja potrebno je da \nse zadrži neko vreme na nivou FL80. ATC će poslati poruku koristeći sledeću frazu:";"STOP CLIMB AT FL80.";"LEVEL OFF AT FL80.";"MAINTAIN FL80.";"CLEARED FL80.";"A";"komunication"
"85";"Ako od vas ATC zatraži ""Are you able to maintain FL 40"" korektan odgovor sadrži frazu:";"AFFIRM ili NEGATIVE";"ROGER";"WILCO";"NO SIR";"A";"komunication"
"86";"Ako zahtevate specijalni VFR let morate ATC dati sledeće detalje";"Pozivni znak,tip,nameru i ETA na tački ulaska";"Pozivni znak,tip T AS, ETA na tački ulaska i destinacija";"Pozivni znak,tip, poziciju, kurs, nameru i ETA na tački ulaska";"Pozivni znak, visina, kurs i ETA na tački ulaska";"A";"komunication"
"87";"Upravo ste sleteli i toranj vas obaveštava da kontaktirate zemaljsku stanicu kada napustite pistu. Vi \nznate da je pista napuštena kada:";"Kada svi delovi vazduhoplova pređu liniju čekanja";"Kada kabina vazduhoplova pređe liniju čekanja";"Kada je rep vazduhoplova na ivici piste";"";"A";"komunication"
"88";"Ako kontrolni toranj traži da javite kada ste prešli pistu, koristićete sledeću frazu:";"RUNWAY VACATED.";"I HAVE LEFT THE RUNWAY.";"I AM CLEAR OF RUNWAY.";"I AM BEYOND THE RUNWAY.";"A";"komunication"
"89";"Poruka ""downwind"" se emituje:";"U bilo kojoj poziciji u downwind (niz vetar)";"U traverzi pozicije u vetar na PSS";"Odmah pošto avion uđe u downwind";"Neposredno pre zaokreta u base leg";"A";"komunication"
"90";"Javljanje u poziciji kroz vetar (base leg) se vrši:";"Samo kada to kontrolor zahteva";"Uvek";"Samo po nahođenju";"";"A";"komunication"
"91";"Pravilna frazeologija za javljanje u finalu (final report) je:";"Y-BC ON FINAL";"WE ARE APPROACHING FINAL";"VRŠAC TOWER, FINAL";"";"A";"komunication"
