"1";"What is the basic presumption about VFR flight?";"That the flight will be flown in Visual Meteorological Conditions.";"That the pilot holds the correct rating to allow the aeroplane to be flown in VFR.";"That the flight will only take place in class G airspace.";"";"a";"Air law";""
"2";"The pilot in command of an aircraft which enters the sovereign airspace of another contracting state for the purpose of landing must:";"Hold a licence issued by the authority of the state in which the aircraft is registered.";"Hold a licence issued by any ICAO contracting state.";"Hold a licence issued by any member state of the JAA.";"";"a";"Air law";""
"3";"Which body is responsible for ensuring that an aircraft operating in a state's sovereign airspace complies with the rules and regulations which prevail in that airspace?";"The state in whose sovereign airspace the aircraft is operating.";"The state which issued the current Certificate of Airworthiness for the aircraft.";"The state in which the aircraft is registered.";"";"a";"Air law";""
"4";"The Rules of the Air applicable to an aircraft registered in one state flying over another state shall be:";"Those of the state whose airspace is entered and transited.";"Those of the state of the visiting aircraft.";"Those agreed by ICAO contracting states to apply in all contracting states.";"";"a";"Air law";""
"5";"While flying at night, as the pilot in command, you see an anti-collision light and a steady red light at the same altitude, at a constant relative bearing of 050 degrees, there a risk of collision? And who has right of way?";"Yes. The other aircraft does.";"Yes. You do.";"No. The other aircraft does.";"";"a";"Air law";""
"6";"Two aircraft flying according to the Visual Flight Rules, one of which is receiving a Radar Information Service (RIS), are closing at an apparent constant relative bearing. There is, thus, a high risk of collision. The fact that one aircraft is receiving an RIS is immaterial to the situation. The Rules of the Air apply. Therefore, the aircraft which has the other on its left has right of way and should maintain:";"Course and speed.";"Height and speed.";"Altitude and course.";"";"a";"Air law";""
"7";"When an aircraft is flying, under which flight rules must the flight be conducted?";"Either IFR or VFR.";"IFR in IMC and VFR in VMC.";"At the commander's discretion.";"";"a";"Air law";""
"8";"When are navigation lights required to be shown?";"From sunset to sunrise or when specified by the Authority.";"When moving on the manoeuvring area of an aerodrome.";"Whenever the pilot in command thinks it is sensible to switch them on.";"010.06 -";"a";"Air law";""
"9";"What word is used to describe the vertical position of an aircraft measured above mean sea level, when QNH is set on the altimeter subscale?";"Altitude.";"Elevation.";"Height";"";"a";"Air law";""
"10";"What action should a pilot take if he suffers radio communications failure during a VFR flight in VMC?";"Continue to fly in VMC, land at the nearest suitable aerodrome and report his arrival to his destination airfield.";"Continue to his destination, transmitting blind and attempting to avoid IMC.";"Fly to the nearest aerodrome, orbit on the dead side of the circuit and await a steady green from the control tower.";"";"a";"Air law";""
"11";"Which of the following flight levels would be suitable for an aircraft flying in accordance with the quadrantal rule and maintaining a magnetic track of 146 degrees? ДЦВ-PEL-ОБ-1001 издање 01 Датум примене: 25.08.2018. Страна 3 / 10 CAD-PEL-OB-1001 Issue 01 Еffective date: 25.08.2018. Page 3 / 10 Скадарска 23, 11000 Београд, Србија, тел. 011 292 70 60 факс 011 311 75 79 e mail:dgca@cad.gov. rs www.cad.gov.rs Skadarska 23, 11000 Belgrade, Serbia, tel.011 292 70 00 fax. 011 311 75 79 e-mail: dgca@cad.gov.rs, www.cad.gov.rs";"FL75.";"FL50.";"FL85.";"";"a";"Air law";""
"12";"A pilot intending to land at a civil aerodrome should initiate his descent to below transition level with the altimeter subscale set to:";"QNH.";"QFE.";"QNE.";"";"a";"Air law";""
"13";"You are on final approach and you see a steady red light from ATC. This means:";"Do not land. Continue circling.";"Continue approach and await a green light";"Do not land. Airfield closed.";"";"a";"Air law";""
"14";"What color are runway markings?";"White.";"Red.";"Green.";"";"a";"Air law";""
"15";"What colour are paved taxiway markings?";"Yellow.";"Red.";"Green.";"";"a";"Air law";""
"16";"What is the meaning of a steady green light from ATC to an aircraft in the air?";"Clear to land.";"Return to this airfield and await landing clearance.";"Land immediately.";"";"a";"Air law";""
"17";"If an aircraft marshaller holds his right arm down and repeatedly moves his left arm upward and backward it means:";"Turn left.";"Turn right.";"Keep moving ahead.";"";"a";"Air law";""
"18";"A light aircraft is taking off behind a Heavy or Medium category aircraft. What period of separation is required?";"2 minutes.";"4 minutes.";"3 minutes.";"";"a";"Air law";""
"19";"How often are Aeronautical Information Circulars published?";"Monthly";"Weekly";"Yearly.";"";"a";"Air law";""
"20";"What is the international Aeronautical VHF Distress Frequency?";"121.50 MHz";"123.45 MHz";"243.00 MHz";"";"a";"Air law";""
"21";"What SSR squawk should be set in an emergency?";"7700";"7600";"7500";"010.07 -";"a";"Air law";""
"22";"What is the definition of ""transition level""?";"The lowest available Flight Level above the transition altitude.";"The Flight Level below which the vertical position of an aircraft is expressed as ""height"".";"The transition altitude expressed as a Flight Level.";"ДЦВ-PEL-ОБ-1001 издање 01 Датум примене: 25.08.2018. Страна 4 / 10 CAD-PEL-OB-1001 Issue 01 Еffective date: 25.08.2018. Page 4 / 10 Скадарска 23, 11000 Београд, Србија, тел. 011 292 70 60 факс 011 311 75 79 e mail:dgca@cad.gov. rs www.cad.gov.rs Skadarska 23, 11000 Belgrade, Serbia, tel.011 292 70 00 fax. 011 311 75 79 e-mail: dgca@cad.gov.rs, www.cad.gov.rs";"a";"Air law";""
"23";"What word is used to describe the vertical position of an aircraft measured above an airfield datum level, when QFE is set on the altimeter subscale?";"Height";"Elevation.";"Altitude.";"";"a";"Air law";""
"24";"Who is responsible for the issue of a Certificate of Airworthiness?";"The authority of the state of registration.";"The EASA.";"ICAO.";"";"a";"Air law";""
"25";"Which of the following normally defines 'runway in use' on an uncontrolled airfield?";"A runway into wind.";"A part of the maneuvering area defined for take off and landing.";"The most convenient runway to use for the aircraft operating from the aerodrome.";"";"a";"Air law";""
"26";"If the holder of a pilot's licence learns that he is to undergo surgery, what are his obligations in terms of informing the aviation medical authority?";"He should contact his aviation medical authority without delay and seek their advice on his circumstances.";"There is no requirement to do so provided the pilot does not fly again as pilot in command until after the surgical operation.";"He should advise the medical authority of the circumstances only if he is due to receive a general anesthetic.";"";"a";"Air law";""
"27";"The successful completion of the theoretical knowledge examinations will be valid for the issue of a light aircraft pilot licence (LAPL), a private pilot licence (PPL), a sailplane pilot licence (SPL) or a balloon pilot licence (BPL), for a period of";"24 months";"12 months";"36 months";"48 months";"a";"Air law";""
"28";"Pilots are required to keep their safety belts and shoulder harnesses fastened during";"Takeoffs and landings.";"All flight conditions.";"Flight in turbulent air.";"";"a";"Air law";""
"29";"Which best describes the flight conditions under which pilots are specifically required to keep their safety harness fastened?";"Safety belts during take off and landing and while en route; shoulder harnesses during takeoff and landing.";"Safety belts during take off and landing; shoulder harnesses during takeoff and landing.";"Safety belts during take off and landing; shoulder harnesses during takeoff and landing and while en route.";"";"a";"Air law";""
"30";"With respect to passengers, what obligation, if any, does a pilot in command have concerning the use of seat belts?";"The pilot in command must brief the passengers with the location and the use of seat belts.";"The pilot in command must instruct the passengers to keep their seat belts fastened for the entire flight.";"The pilot in command has no obligation in regard to passengers' use of seat belts.";"";"a";"Air law";""
"31";"The person directly responsible for the briefing of passengers for a flight is";"Pilot in command.";"Safety officer.";"Ground crew member.";"";"a";"Air law";""
"32";"What should be entered into the ""LEVEL"" block of an ICAO VFR Flight Plan?";"Either the word ""VFR"" or the proposed cruising altitude.";"It is left blank for VFR flights.";"The proposed cruising altitudes.";"";"a";"Air law";""
"33";"What is the meaning of ""WIP""?";"Work in progress.";"With permission.";"With effect from.";"";"a";"Air law";""
"34";"Who is responsible for the adequate safe separation between VFR flights in the air?";"Pilots themselves exclusively.";"The Air Traffic Control exclusively. ДЦВ-PEL-ОБ-1001 издање 01 Датум примене: 25.08.2018. Страна 5 / 10 CAD-PEL-OB-1001 Issue 01 Еffective date: 25.08.2018. Page 5 / 10 Скадарска 23, 11000 Београд, Србија, тел. 011 292 70 60 факс 011 311 75 79 e mail:dgca@cad.gov. rs www.cad.gov.rs Skadarska 23, 11000 Belgrade, Serbia, tel.011 292 70 00 fax. 011 311 75 79 e-mail: dgca@cad.gov.rs, www.cad.gov.rs";"The Air Traffic Control and the Surveillance Radar.";"";"a";"Air law";""
"35";"Which rules of the air apply to an aircraft registered in the Republic of Slovenia while flying outside the native aerospace?";"Rules of the air of the state being overflown.";"Rules of the air of the Republic of Serbia.";"Rules of the air of the state producer of the aircraft.";"";"a";"Air law";""
"36";"What is the lateral dimension of the airspace at the inner side of the state border, where all aircraft need to obtain special permission for flying within it?";"5 nm.";"7 nm.";"9 nm.";"010.08 -";"a";"Air law";""
"37";"Which of the cruising flight level listed is appropriate for a VFR flight over 3,000 ft MSL, while maintaining true course 170° and if the local variation value is 20°W?";"FL 65.";"FL 55.";"FL 40.";"";"a";"Air law";""
"38";"What action should the pilots of an airplane and a glider take if on a head-on collision course?";"The airplane pilot should give way.";"The airplane pilot should give way, because his aircraft is more controllable.";"Both pilots should give way to the right.";"";"a";"Air law";""
"39";"How often is a glider or an aeroplane state of airworthiness inspected by the authorized person?";"Regularly each year and in case if changing ownership or after repairs.";"Regularly every two years and after a hard landing.";"One year after the last regular inspection and in case of changing ownership.";"";"a";"Air law";""
"40";"Which minimum life-saving equipment is recommended to be on board of a non-commercial flight of a single-engined landplane when flying en route over water beyond gliding distance from the shore?";"Life saving rafts in sufficient numbers to carry all persons on board.";"Life saving rafts in sufficient numbers to carry all persons on board and one life jacket for each person on board.";"One life jacket or equivalent individual floatation device for each person on board.";"";"a";"Air law";""
"41";"A night flying inside the territory of Republic Serbia is defined by the state regulations as a flying between";"30 minutes after sunset and 30 minutes before sunrise.";"Sunset and sunrise.";"60 minutes before sunset and 60 minutes after sunrise.";"";"a";"Air law";""
"42";"Which of the following statements, concerning heavier-than-air aircraft right-of-way during landing, is correct?";"Aircraft at higher level shall give way to aircraft at lower level, but the latter shall not take advantage of this rule to cut in front of another which is in the final stage of an approach to land, or to overtake that aircraft.";"Aircraft in final stage of an approach to land or which is first in an airport traffic circuit, has the right-of-way over all other aircraft.";"Aircraft which is the highest has the right-of-way over all other aircraft with the exception of turbojet aircraft, which has the right-of-way over propeller aircraft.";"";"a";"Air law";""
"43";"When approaching to land at an airport, without an operating control tower, in Class G airspace, the pilot should";"Make all turns to the left, unless otherwise indicated.";"Enter and fly a traffic pattern at 800 feet AAL.";"Fly a left-hand traffic pattern at 800 feet AAL.";"";"a";"Air law";""
"44";"Visual flying of aircraft in class G airspace at altitudes above 900 m (3,000 ft) MSL or 300 m (1,000 ft) from ground, whichever is higher, up to 3,050 m (10,000 ft), is permitted if the horizontal visibility is at least";"1.5 km.";"8 km.";"5 km.";"";"a";"Air law";""
"45";"When flying visually in class G airspace at altitudes above 900 m (3,000 ft) MSL or 300 m (1,000 ft) from ground, whichever is higher, the ДЦВ-PEL-ОБ-1001 издање 01 Датум примене: 25.08.2018. Страна 6 / 10 CAD-PEL-OB-1001 Issue 01 Еffective date: 25.08.2018. Page 6 / 10 Скадарска 23, 11000 Београд, Србија, тел. 011 292 70 60 факс 011 311 75 79 e mail:dgca@cad.gov. rs www.cad.gov.rs Skadarska 23, 11000 Belgrade, Serbia, tel.011 292 70 00 fax. 011 311 75 79 e-mail: dgca@cad.gov.rs, www.cad.gov.rs pilot of an aircraft must maintain the vertical separation from clouds at least";"300 m.";"100 m.";"150 m.";"";"a";"Air law";""
"46";"When flying a sport aircraft above the territory of the Republic of Slovenia, supplemental oxygen shall be used at the altitude above mean sea level greater than";"4,000 m.";"3,600 m.";"3,800 m.";"";"a";"Air law";""
"47";"Aircraft A with an ATC clearance is flying in VMC conditions within a control area. Aircraft B with no ATC clearance is approaching at approximately the same altitude and on a converging course. Which has the right of way?";"Aircraft B if A is on its left.";"Aircraft A regardless of the direction which B is approaching.";"Aircraft B regardless of the direction A is approaching.";"";"a";"Air law";""
"48";"With your aeroplane on an IFR flight in airspace class D, you receive a traffic information from ATC, that an helicopter on VFR flight is going to cross your flight path from right to left. Who has the right-of-way?";"ATC decides who has the right of way and issues appropriate instruction.";"I have the right-of-way as I am on an IFR flight.";"The helicopter has the right-of-way.";"";"a";"Air law";""
"49";"Which of the statements listed, concerning the right-of-way when two aircraft converge, but not head-on, is correct?";"Normal category aircraft should give way to ultralight aircraft.";"Airplanes should give way to helicopters.";"Airplanes in free flight should give way to non-powered aircraft.";"";"a";"Air law";""
