"1";"Koja od sledecih definicija se obicno koristi za „pista u upotrebi"" na nekontrolisanom aerodromu?";"Pista u vetar.";"Deo manevarske površine odreden za poletanje i sletanje.";"Staza koja najviše odgovara vazduhoplovu koji funkcioniše sa tog aerodrome.";"Deo aerodroma definisan za poletanje i sletanje.";"a";"Vazduhoplovni propisi"
"2";"Ko je odgovoran za izdavanje Uverenja o plovidbenosti?";"Vazduhoplovna vlast države u kojoj je izvršena registracija.";"EASA.";"ICAO.";"Operator.";"a";"Vazduhoplovni propisi"
"3";"Prakticni ispit za sticanje PPL(A), PPL(H), SPL i BPL dozvole mora da se izvrši u roku od ________ od završetka praktične obuke:";"6 meseci.";"Jedne godine.";"4 meseca.";"3 meseca.";"a";"Vazduhoplovni propisi"
"4";"Vreme leta je ukupno vreme leta od momenta:";"Pocetka kretanja vazduhoplova pod sopstvenim ili spoljnim pogonom u cilju poletanja do momenta kada dode na mesto parkiranja na kraju leta.";"Kada vazduhoplov startuje motore u cilju poletanja ili od prvog kretanja vazduhoplova bez sopstvenog pogona, do momenta zaustavljanja rada motora ili kada vazduhoplov bez pogona dode na mesto parkiranja na kraju leta.";"Kada kompletna posada bude na vazduhoplovu do momenta kada vazduhoplov dodirne zemlju prilikom sletanja.";"";"a";"Vazduhoplovni propisi"
"5";"Ko je odgovoran da obezbedi da se sva odgovarajuca dokumentacija nalazi u vazduhoplovu na medunarodnim letovima?";"Pilot u ulozi PIC.";"Organizacija koja iznajmljuje vazduhoplov.";"Organizacija vazdušnog saobracaja na koju se plan leta odnosi.";"Supervizor letenja na aerodromu polaska.";"a";"Vazduhoplovni propisi"
"6";"Položen teorijski ispit za izdavanje PPL(A),PPL(H),SPL,BPL i LAPL dozvole važi:";"24 meseca.";"12 meseci.";"36 meseci.";"18 meseci.";"a";"Vazduhoplovni propisi"
"7";"Vreme leta u toku kojeg ce instruktor samo nadgledati rad studenta pilota u ulozi PIC i nece uticati ili vršiti upravljanje vazduhoplovom je:";"Vreme leta ka student pilot-in-command (SPIC).";"Samostalno letenje pod nadzorom (PICUS).";"Vreme leta u ulozi PIC.";"Vreme samostalnog letenja.";"a";"Vazduhoplovni propisi"
"8";"Nalet koji se priznaje za dozvolu ili ovlašcenje mora da bude ostvaren na:";"Istom tipu ili kategoriji vazduhoplova za koji se dozvola ili ovlašcenje traže.";"Na vazduhoplovu iz grupe istih performansi kao što je onaj za koji se traže dozvola ili ovlašcenje.";"Na vazduhoplovu iz iste ili više grupe performansi kao što je onaj za koji se traže dozvola ili ovlašcenje.";"Na istom tipu vazduhoplova kao što je onaj za koji se traže dozvola ili ovlašcenje. 010.02 - ДЦВ-PEL-ОБ-1001 издање 01 Датум примене: 25.08.2018. Страна 3 / 9 CAD-PEL-OB-1001 Issue 01 Еffective date: 25.08.2018. Page 3 / 9 Скадарска 23, 11000 Београд, Србија, тел. 011 292 70 60 факс 011 311 75 79 e mail:dgca@cad.gov. rs www.cad.gov.rs Skadarska 23, 11000 Belgrade, Serbia, tel.011 292 70 00 fax. 011 311 75 79 e-mail: dgca@cad.gov.rs, www.cad.gov.rs";"a";"Vazduhoplovni propisi"
"9";"Ukoliko pilot, koji ima lekarsko uverenje , doživi povredu ili bolest koji uticu na njegovu sposobnost da deluje kao clan posade vazduhoplova:";"Lekarsko uverenje prestaje da bude važece.";"Lekarsko uverenje ce biti suspendovano 25 dana nakon povrede ili pocetka bolesti, dok se pilot ponovo ne proglasi sposobnim.";"Lekarsko uverenje ce biti suspendovano ako se povreda ili bolest prijave vazduhoplovnim vlastima.";"Lekarsko uverenje ce ostati važece.";"a";"Vazduhoplovni propisi"
"10";"Koliko casova naleta, od ukupno zahtevanih za prakticni ispit za izdavanje PPL(A), može da se izvrši na FNPT(Flight & Navigation Procedures Trainer) ili simulatoru leta?";"5.";"7.";"10.";"15.";"a";"Vazduhoplovni propisi"
"11";"Na preletu vam se sa leve strane približava vojni avion-presretac, leti neko vreme uporedo sa vama, zatim mahne krilima i zapocne blagi zaokret u desno. To znaci:";"Vratite se na maticni aerodrom!";"Presretnuti ste. Sledite me!";"Odmah napustite zabranjeno podrucje!";"Možete da nastavite!";"a";"Vazduhoplovni propisi"
"12";"Koje medicinsko uverenje se zahteva za studenta pilota?";"Medicinsko uverenje Klase 1 ili Klase 2.";"Samo medicinsko uverenje Klase 1.";"Medicinsko uverenje Klase A ili B.";"";"a";"Vazduhoplovni propisi"
