"1";"Which of the following documents is not required to be carried in an aircraft of an ICAO member state?";"Flight crew birth certificates.";"Certificate of Registration.";"Certificate of Airworthiness.";"Flight crew licences.";"a";"Air law";""
"2";"The State of licence issue of a JAA PPL may be changed to a new member State providing:";"The new member State is the licence holder's normal State of residence or that full-time employment has been taken by the licence holder in that State.";"The licence holder has resided in the new member State for at least 31 days.";"The licence holder intends to follow a course of study in the new member State lasting at least three months.";"The new member State has no reasonable grounds for refusing to convert the licence.";"a";"Air law";""
"3";"No aircraft or personnel who have endorsed certificates or licences may participate in international navigation:";"Except with the permission of the State whose territory is entered.";"Under any circumstances.";"Except when a general exemption has been awarded by any ICAO contracting state.";"Except when a general exemption has been awarded by the State in which the aircraft is registered or which issued the licence.";"a";"Air law";""
"4";"Which right is conferred on contracting states by Article 16 of the ICAO Convention?";"The right to search, without unreasonable delay, an aircraft from another contracting state landing on or departing from its sovereign territory.";"The right to search an aircraft from another contracting state landing on or departing from its sovereign territory if it is felt that the aircraft is carrying unlawful goods or persons being pursued in law.";"The right to search an aircraft from another contracting state landing on or departing from its sovereign territory, given due cause.";"The right to search, with the permission of the pilot in command, an aircraft from another contracting state landing on or departing from its sovereign territory.";"a";"Air law";""
"5";"The Rules of the Air applicable to an aircraft registered in one state flying over another state shall be:";"Those of the state whose airspace is entered and transited.";"Those of the state of the visiting aircraft.";"Those agreed by ICAO contracting states to apply in all contracting states.";"Those stipulated by JAA operational procedures. Latest information about the exam can be found at www.cad.gov.rs/osoblje.php 2 / 24 PPL (A) – Aviation law";"a";"Air law";""
"6";"Which classes of medical certificate meet the requirement for a JAA PPL (А)?";"Class 1 or 2.";"Class A or B.";"Class 2 or 3.";"Class B or C.";"a";"Air law";""
"7";"Which body is responsible for ensuring that an aircraft operating in a state's sovereign airspace complies with the rules and regulations which prevail in that airspace?";"The state in whose sovereign airspace the aircraft is operating.";"The state which issued the current Certificate of Airworthiness for the aircraft.";"The state in which the aircraft is registered.";"The state which issued the licence held by the pilot of the aircraft.";"a";"Air law";""
"8";"What was the outcome of the Chicago Convention";"The Convention on International Civil Aviation.";"ICAO.";"PICAO.";"The 18 Annexes to the Chicago Convention.";"a";"Air law";""
"9";"A PPL holder is not permitted to:";"Carry fare paying passengers.";"Give flying instruction with an FI(A) rating.";"Tow a glider";"Drop parachutists.";"a";"Air law";""
"10";"Complete the following wording with one of the options at a), b), or below to give the most correct statement. A pilot in command of a flight during which an aircraft enters the sovereign airspace of a foreign state with the intention of landing:";"Must have ensured that all necessary and relevant documentation is carried on board the aircraft, including the Certificate of Airworthiness, that the aircraft is in an airworthy condition and that it is correctly registered.";"Must ensure before departure that his pilot's licence has been validated by the foreign state.";"Must be satisfied that the aircraft's Certificate of Airworthiness is current and that he holds a type rating for the aircraft.";"Must be satisfied that the aircraft's Certificate of Airworthiness is current, that he holds a type rating for the aircraft, and that he has passed an Air Law examination set by the foreign state.";"a";"Air law";""
"11";"The pilot in command of an aircraft which enters the sovereign airspace of another contracting state for the purpose of landing must:";"Hold a licence issued by the authority of the state in which the aircraft is registered.";"Hold a licence issued by any ICAO contracting state.";"Hold a licence issued by any member state of the JAA.";"Hold any valid and current pilot's licence. Latest information about the exam can be found at www.cad.gov.rs/osoblje.php 3 / 24 PPL (A) – Aviation law";"a";"Air law";""
"12";"What is the basic presumption about VFR flight?";"That the flight will be flown in Visual Meteorological Conditions.";"That the pilot holds the correct rating to allow the aeroplane to be flown in VFR.";"That the flight will only take place in class G airspace.";"That the flight will not take place above FL180.";"a";"Air law";""
"13";"When are navigation lights required to be shown?";"From sunset to sunrise or when specified by the Authority.";"When moving on the manoeuvring area of an aerodrome.";"Whenever the pilot in command thinks it is sensible to switch them on.";"At night or when specified by the authority.";"a";"Air law";""
"14";"When an aircraft is flying, under which flight rules must the flight be conducted?";"Either IFR or VFR.";"IFR in IMC and VFR in VMC.";"At the commander's discretion.";"In accordance with ATC instructions.";"a";"Air law";""
"15";"When may you fly over any congested area of a city, town or settlement at a height from which it would not be possible to land safely in the event of an emergency arising?";"Only when necessary for take-off and landing.";"Never.";"Only to keep clear of cloud and remain in visual contact with the ground.";"Only where the operator has given permission.";"a";"Air law";""
"16";"When two aircraft are converging at approximately the same level the one that has the other on its right is required to give way. True or false?";"True, provided they are in the same class.";"False. The one that has the other on its left has right of way";"True, unless the other aircraft has a glider on tow.";"False, provided the other aircraft is not towing anything.";"a";"Air law";""
"17";"Which of a), b), c) and d), below, most correctly completes the following statement? When two or more aircraft are on final approach:";"The lower aircraft has the right of way unless ATC has already specified a landing order.";"The higher aircraft has the right of way.";"The lower aircraft has the right of way.";"The aircraft which has the least horizontal distance to run to the runway threshold has the right of way.";"a";"Air law";""
