"1";"Koji od sledećih dokumenata nije obavezno nositi u vazduhoplovu države članice ICAO?";"Uverenja o rođenju članova posade.";"Uverenje o registraciji.";"Uverenje o plovidbenosti.";"Dozvole članova posade.";"a";"Vazduhoplovni propisi";""
"2";"Država izdavalac JAA PPL dozvole može da bude zamenjena novom državom članicom pod uslovom:";"Da imalac dozvole ima normalno prebivalište u novoj članici ili da u toj državi ima stalno zaposlenje.";"Da imalac dozvole ima prebivalište u novoj državi članici najmanje 31 dan.";"Da imalac dozvole namerava da pohađa studije u novoj državi članici u trajanju od najmanje tri meseca.";"Da nova država članica nema opravdani razlog za odbijanje prevođenja dozvole.";"a";"Vazduhoplovni propisi";""
"3";"Ni jedan vazduhoplov ili osoba koji imaju upisana uverenja ili dozvole ne može da učestvuje u međunarodnom vazdušnom saobraćaju:";"Osim uz odobrenje države u čiju teritoriju ulazi.";"Ni pod kojim okolnostima.";"Osim u slučaju uopštenog izuzeća datog od države potpisnice ICAO.";"Osim u slučaju uopštenog izuzeća države potpisnice ICAO u kojoj je vazduhoplov registrovan ili izdata dozvola.";"a";"Vazduhoplovni propisi";""
"4";"Koje pravo po članu 16. ICAO konvencije se savetuje državama potpisnicama?";"Pravo pregleda, bez neopravdanog odlaganja, vazduhoplova iz druge države potpisnice prilikom sletanja na ili poletanja sa njene suverene teritorije.";"Pravo pregleda vazduhoplova iz druge države potpisnice na sletanju na ili poletanju sa suverene teritorije, ukoliko se posumnja da vazduhoplov prevozi nezakonitu robu ili lica pod zakonskom istragom.";"Pravo pregleda vazduhoplova iz druge države potpisnice na sletanju na ili poletanju sa njene suverene teritorije, iz bilo kog razloga.";"Pravo pregleda, uz dozvolu vođe posade, vazduhoplova iz druge države potpisnice na sletanju na ili poletanju sa njene suverene teritorije.";"a";"Vazduhoplovni propisi";""
"5";"Vazduhoplov koji je registrovan u jednoj državi a ulazi u vazdušni prostor i vrši prelet druge države mora da se pridržava vazduhoplovnih propisa:";"One države u čiji vazdušni prostor je ušao i vrši prelet.";"Države iz koje dolazi.";"Dogovorenih između država potpisnica ICAO, a koji se primenjuju za sve države potpisnice.";"Koji su predviđeni JAA operativnim procedurama.";"a";"Vazduhoplovni propisi";""
"6";"Koja klasa medicinskog uverenja se zahteva za imaoce JAA PPL(A) dozvole?";"Klasa 1 ili 2.";"Klasa A ili B.";"Klasa 2 ili 3.";"Klasa B ili C.";"a";"Vazduhoplovni propisi";""
"7";"Koji organ je odgovoran da se obezbedi funkcionisanje vazduhoplova u vazdušnom prostoru suverene države u skladu sa pravilima i propisima koji prevladavaju u tom vazdušnom prostoru?";"Država u čijem suverenom vazdušnom prostoru vazduhoplov leti.";"Država koja je izdala važeće Uverenje o plovidbenosti za vazduhoplov.";"Država u kojoj je vazduhoplov registrovan.";"Država koja je izdala pilotsku dozvolu pilotu vazduhoplova.";"a";"Vazduhoplovni propisi";""
"8";"Koji je bio ishod Čikaške konvencije?";"Konvencija o međunarodnom civilnom vazduhoplovstvu.";"ICAO.";"PICAO.";"18 Dodataka Čikaškoj konvenciji.";"a";"Vazduhoplovni propisi";""
"9";"Imaocu PPL dozvole nije dozvoljeno:";"Prevoženje putnika uz naknadu.";"Davanje obuke u vazduhu sa ovlašćenjem FI(A).";"Vuča jedrilice.";"Izbacivanje padobranaca.";"a";"Vazduhoplovni propisi";""
"10";"Popunite sledeću formulaciju sa jednom od opcija pod a), b), c) ili d) koja daje najispravniju izjavu. Pilot koji je u ulozi PIC u letu u toku kojeg vazduhoplov ulazi u suvereni vazdušni prostor strane države sa namerom da sleti:";"Mora da se uveri da se u vazduhoplovu nalazi sva potrebna i relevantna dokumentacija, uključujući Uverenje o plovidbenosti, da je vazduhoplov u plovidbenom stanju i da je ispravno registrovan.";"Mora da se pre odlaska uveri da mu je pilotska dozvola prihvaćena od strane države.";"Mora da obezbedi da ima važeće Uverenje o plovidbenosti vazduhoplova i ovlašćenje za letenje na tom vazduhoplovu.";"Mora da obezbedi da ima Uverenje o plovidbenosti vazduhoplova, ovlašćenje za letenje na tipu i položen ispit iz vazduhoplovnih propisa koji je odredila strana država.";"a";"Vazduhoplovni propisi";""
