"1";"Kako zovemo komandne površine sa kojima upravljamo vazduhoplovom oko uzdužne ose:";"krilca- eleroni";"krmilo pravca";"visinsko krmilo";"trimer nagiba";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"2";"2 Kako zovemo komandne površine sa kojima upravljamo vazduhoplovom oko poprečne ose:";"visinsko krmilo";"krmilo pravca";"krilca- eleroni";"trimer nagiba";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"3";"Kako zovemo komandne površine sa kojima upravljamo vazduhoplovom oko vertikalne ose:";"krmilo pravca";"visinsko krmilo";"krilca- eleroni";"trimer nagiba";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"4";"U toku kompletnog četvorotaktnog ciklusa klipnog motora, radilica se okrene";"dva puta";"jedan put";"tri puta";"četiri puta";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"5";"Kojim redosledom se smenjuju taktovi u četvorotaktnom Otto motoru?";"širenje, izduvavanje, usisavanje, sabijanje";"izduvavanje, sabijanje, usisavanje, širenje";"usisavanje, širenje, sabijanje, izduvavanje";"izduvavanje, sabijanje, ekspanzija, izduvavanje";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"6";"U procesu sabijanja radne smeše:";"oba ventila su zatvorena";"izduvni ventil je otvoren";"usisni ventil je otvoren";"izduvni i usisni ventili su otvoreni";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"7";"Kod motora sa većim stepenom sabijanja:";"veća je mogućnost pojave detonacija";"smanjena je radna temperatura motora";"manja je snaga motora";"";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"8";"Suviše visoka temperatura ulja i glave cilindra može prouzrokovati:";"gubitak snage, povećanje potrošnje ulja i zaribavanje motora";"povećanu potrošnju goriva i veću snagu motora usled više radne temperature";"ne utiče posebno na rad motora";"povećanje potrebne količine ulja za podmazivanje i hlađenje motora";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"9";"U koju se stranu otklanjaju krilca na vazduhoplovu ako otklonimo poluvolan/palicu u levo:";"levo na gore, desno na dole";"oba na dole, s tim da je otklon levog krilca manji od otklona desnog krilca";"oba na gore, s tim da je otklon levog krilca veći od otklona desnog krilca";"levo na dole, desno na gore";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"10";"Ako motor izbacuje crni dim kroz izduvne cevi:";"smeša je previše bogata";"u motoru sagoreva previše ulja";"filter za gorivo je zaprljan";"došlo je do zauljenja svećica za paljenje";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"11";"Ulje za podmazivanje koje se koristi u zimskoj ekspoloataciji treba da je:";"manjeg viskoziteta";"većeg viskoziteta";"niže tačke mržnjenja";"veće gustine";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"12";"Pri proveri magneta dolazi do pada broja obrtaja zato što:";"jedan magnet proizvodi napon na jednoj svećici u svakom cilindru uzrokujući slabije sagorevanje";"jedan magnet proizvodi napon na obe svećice u svakom cilindru uzrokujući pad snage";"svaki magnet proizvodi napon na svećicama što uzrokuje porast snage";"";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"13";"Unutrašnje hlađenje motora vrši se:";"uljem";"vazduhom";"tečnošću na bazi alkohola";"glikolom";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"14";"Jedna od metoda poboljšanja hlađenja motora u toku leta je:";"obogaćenje smeše";"smanjenje brzine aviona";"povećanjem ugla penjanja";"povećanjem broja obrtaja";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"15";"Elisa sa reduktorom ima brzinu obrtanja:";"manju od brzine obrtanja motora";"veću od brzine obrtanja motora";"istu kao brzina motora ako je u pitanju elisa sa konstantnim brojem obrtaja";"";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"16";"Kod elise nepromenljivog koraka, komanda gasa (throttle control) kontroliše:";"otvor leptira u karburatoru";"količinu goriva u smeši";"konstruktivni ugao elise";"napadni ugao elise";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"17";"Usled opadanja atmosferskog pritiska u penjanju, protok goriva u karburatoru:";"ne menja se";"opada";"raste";"";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"18";"Dok motor radi, pokazivač pritiska punjenja pokazuje:";"pritisak koji vlada u usisnom vodu";"spoljni atmosferski pritisak";"pritisak koji vlada u komori za sagorevanje";"pritisak u izduvnoj grani";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"19";"Klipni prstenovi su smešteni u žljebovima na:";"zidu klipa";"zidu cilindra";"klipnoj osovinici";"radilici motora";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"20";"Posledica previše bogate smeše može biti:";"onemogućeno paljnje smeše usled hvatanja gareži na svećicama";"povećanje radne temperature motora";"detonacija";"smanjenje radne temperature glave cilindra";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"21";"Ako se nakon startovanja motora u roku od 30'' ne pojavi zahtevani pritisak ulja, pilot treba:";"da momentalno ugasi motor";"da sačeka još 30''";"da poveća broj obrtaja";"smanjiti broj obrtaja na relant";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"22";"Broj obrtaja (RPM) motora u prilazu:";"treba da je na određenom limitu da bi se omogućilo dodavanje snage ako je to potrebno";"može da bude bilo koji RPM";"treba smanjiti da nebi došlo do pregrevanja motora";"treba povećati da nebi došlo do hlađenja glave cilindra";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"23";"Povećanje radne temperature:";"smanjuje težinu smeše";"povećava zapreminsku korisnost cilindara";"povećava snagu";"povećava potrošnju goriva";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"24";"U toku 4 radna takta motora, radilica se obrne za:";"720°";"270°";"360°";"460°";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"25";"Klipnjača je poluga koja omogućava prenos kretanja:";"sa klipa na radilicu";"sa radilice na bregastu osovinu";"sa cilindra na radilicu";"sa bregaste osovine na ventile cilindra";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"26";"Nekontrolisano sagorevanje goriva pre normalnog paljenja se zove:";"samopaljenje";"predpaljenje";"detonacija";"požar";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"27";"Osnovna uloga ventilacionih oduški na rezervoarima za gorivo je da se:";"izjednači pritisak u rezervoaru sa spoljnim atmosferskim pritiskom";"ostvari pozitivan pritisak goriva od rezervoara do motora";"omogući dreniranje vode iz rezervoara";"stvara potpritisak u rezervoarima";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"28";"Ako se motor pregreva u penjanju pilot treba da:";"smanji vertikalnu brzinu penjanja i poveća brzinu aviona";"smanji RPM i poveća vertikalnu brzinu penjanja";"osiromaši smešu";"";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"29";"Količina ulja za podmazivanje se kontroliše:";"na zemlji kada motor nije u radu";"kada motor radi na malom broju obrtaja";"neposredno po gašenju motora pre nego što se ulje vrati u uljni karter";"";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
